;urls
241;https://www.tokopedia.com/faatihstore1/toza-juice-jus-5-ltr-all-varian-khusus-grab-gojek?whid=0
242;https://www.tokopedia.com/wakewake/wake-wake-juice?whid=0
243;https://www.tokopedia.com/aluzzchampernik/sari-lemon-250-ml-premium-fresh-pure-best-seller-murni-peras?whid=0
244;https://www.tokopedia.com/rawcoco-hq/paket-4x-coco-ijo-250ml-air-kelapa-hijau-murni?src=topads
245;https://www.tokopedia.com/secercahkopi/yakult-series-1-liter-lemon-leci-strawberry-mango-leci?src=topads
246;https://www.tokopedia.com/alamudhy/aqiilah-fresh-sari-lemon-500ml?whid=0
247;https://www.tokopedia.com/herbal-indonesia/lemona-air-sari-lemon-untuk-kesehatan-diet-jus-asli-original?whid=0
248;https://www.tokopedia.com/wonka-id/ocean-spray-cranberry-classic-juice-fruit-jus-buah-import-usa?whid=0
249;https://www.tokopedia.com/aljabarproject/super-promo-sari-jeruk-lemon-500ml-diet-elowrie-100-jeruk-lemon?whid=0
250;https://www.tokopedia.com/jconia/jus-bawang-putih-tunggal-jahe-merah-cuka-apel-lemon-dan-madu?whid=0
251;https://www.tokopedia.com/sarwendahjuice/jus-sarwendah-herbal-sarwendahjuice-sarwendah-juice?whid=0
252;https://www.tokopedia.com/tantesayurnih/jus-jeruk-fresh-500ml?whid=0
253;https://www.tokopedia.com/wakewake/wake-wake-jus-pouch?whid=0
254;https://www.tokopedia.com/kingdurian84/jus-durian-shake-durian-daging-durian?whid=0
255;https://www.tokopedia.com/wakewake/wake-wake-mix-10-pouch?whid=0
256;https://www.tokopedia.com/avieprobiotic/enchanting-strawberry-minuman-probiotik-sehat-water-kefir?whid=0
257;https://www.tokopedia.com/sukandahome/kullamust-juice-apple-jus-apel-murni-100-250-ml?whid=0
258;https://www.tokopedia.com/bangazra/jus-toza-5-liter-strawberry?whid=0
259;https://www.tokopedia.com/dewiellisanti-90/vico-bagoes-vco-virgin-coconut-oil-minyak-kelapa-500ml?src=topads
260;https://www.tokopedia.com/reeboo-coffee/jahe-merah-bubuk-original-cangkir-mas?src=topads
261;https://www.tokopedia.com/kawansehat/bekatul-dr-liem-200gr-100-kulit-ari-beras-rice-bran?src=topads
262;https://www.tokopedia.com/jahemeraherbal/bubuk-jahe-merah-gula-jawa-instan-1kg?whid=0
263;https://www.tokopedia.com/trendycenter/jahe-merah-super-plus-gula-aren-secang-habbatusaudah-jahe-instan-1kg?whid=0
264;https://www.tokopedia.com/omahcraft/wedang-uwuh-komplit-tinggal-sedu-empon-empon-ekstrak-jahe-isi-10pcs-komplt-kapulaga?whid=0
265;https://www.tokopedia.com/jahemerah/jahe-merah-cangkir-mas-plus-kunyit-temulawak?whid=0
266;https://www.tokopedia.com/jahemerah/jahe-merah-original?whid=0
267;https://www.tokopedia.com/namasteorganic/hearty-potion-330ml?whid=0
268;https://www.tokopedia.com/omahcraft/produksi-langsung-wedang-uwuh-empon-komplit-menerima-partai-besar-tanpa-gula?whid=0
269;https://www.tokopedia.com/believed/bekatul-dr-liem?whid=0
270;https://www.tokopedia.com/househerbal/vico-bagoes-vco-virgin-coconut-oil-minyak-kelapa-1-liter?whid=0
271;https://www.tokopedia.com/ukmbuetik/oleh-oleh-jogja-wedhang-wedang-uwuh-minuman-tradisional-asli-imogiri-jahe-basah-spes?whid=0
